"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
4	2644	46	0.00568021848077031	1614
5	2644	72	0.00302977975228018	1158
6	2644	78	0.0032595327331014	1455
7	2644	55	0.00548863613241907	2158
8	2644	63	0.00559869707213332	1956
9	2644	57	0.00545649195915689	1896
10	2644	53	0.00539643387451067	1759
11	2644	61	0.00366114523913997	1068
13	2644	40	0.00631101345231306	1505
4	2651	72	0.00203066051016386	577
5	2651	93	0.00128464754608771	491
6	2651	59	0.0046372733728659	2070
7	2651	90	0.00232974545750504	916
8	2651	75	0.00387844301264859	1355
9	2651	28	0.00986255165824402	3427
10	2651	102	0.00122409159518463	399
11	2651	80	0.00235849056603774	688
13	2651	80	0.00145090408936898	346
4	2716	77	0.00159074272200011	452
5	2716	79	0.00242016085566422	925
6	2716	107	0.00107754999630362	481
7	2716	81	0.00296304962663031	1165
8	2716	99	0.00133670323756966	467
9	2716	77	0.00288365239613671	1002
4	2821	61	0.00293865082493384	835
5	2821	49	0.0052667932999482	2013
6	2821	90	0.00217974250811523	973
7	2821	80	0.00300628726066698	1182
9	2821	102	0.00130080926452474	452
10	2821	61	0.00460491600093264	1501
12	2821	75	0.00212038642556354	428
4	3101	87	0.00120361506841601	342
5	3101	85	0.00207741375069988	794
6	3101	106	0.00108203045366871	483
7	3101	85	0.00260951838362464	1026
8	3101	86	0.0028508702882642	996
9	3101	43	0.00705372457378351	2451
10	3101	74	0.0029758617727546	970
12	3101	70	0.00280901659648254	567
4	3111	30	0.00861534996339884	2448
5	3111	22	0.013861634825199	5298
6	3111	38	0.00885562398209609	3953
7	3111	11	0.0183505605632083	7215
8	3111	9	0.0241665641002155	8443
9	3111	29	0.00975319158733265	3389
10	3111	26	0.0119740087619188	3903
11	3111	16	0.0179012176393155	5222
12	3111	45	0.00549417884567748	1109
13	3111	24	0.0125213861585427	2986
4	3115	62	0.00284362858269047	808
5	3115	5	0.0315379664369476	12054
6	3115	6	0.0270037165393843	12054
7	3115	6	0.031423586383706	12355
8	3115	10	0.0213557662858828	7461
9	3115	15	0.0155118626897973	5390
10	3115	13	0.0162721348893716	5304
11	3115	38	0.00757939337428697	2211
12	3115	10	0.0238444389398068	4813
13	3115	38	0.00708678587003925	1690
4	3121	13	0.0176002308688552	5001
5	3121	31	0.0111903005185685	4277
6	3121	7	0.0255542885817784	11407
7	3121	19	0.0138334995014955	5439
8	3121	24	0.0114435536269882	3998
9	3121	72	0.00367795185854563	1278
10	3121	18	0.0147596608131159	4811
12	3121	87	0.00162001486252167	327
13	3121	59	0.00348468583313764	831
4	3132	4	0.0319943408975731	9091
5	3132	7	0.0297614375493844	11375
6	3132	21	0.0133920870642475	5978
7	3132	10	0.018884672513073	7425
8	3132	11	0.0185707293476487	6488
9	3132	19	0.0127433261577778	4428
10	3132	16	0.0157107094209034	5121
11	3132	15	0.0183742869679684	5360
12	3132	79	0.00202130294773347	408
4	3211	34	0.00675361788388986	1919
5	3211	25	0.0132049209065268	5047
6	3211	47	0.00674308833445718	3010
7	3211	28	0.0110942682157609	4362
8	3211	25	0.0111773579073009	3905
9	3211	26	0.0104640320482566	3636
11	3211	88	0.00149462483545415	436
4	3212	40	0.00624331324961991	1774
5	3212	30	0.0113812969969074	4350
6	3212	43	0.00748012357101413	3339
7	3212	100	0.00177528638574074	698
8	3212	101	0.00125369597014028	438
11	3212	85	0.0015906099166301	464
4	4111	44	0.00581395348837209	1652
5	4111	8	0.0247458177004024	9458
6	4111	2	0.0466617232287072	20829
7	4111	2	0.0578112600972592	22730
8	4111	2	0.048613635517951	16984
9	4111	2	0.0561304953435633	19504
10	4111	3	0.0565321699861331	18427
11	4111	2	0.0821769416410706	23972
12	4111	1	0.117790438444389	23776
13	4111	1	0.118579959072763	28278
4	4201	65	0.00272749028661524	775
5	4201	46	0.00582146800416529	2225
6	4201	45	0.00705896057869587	3151
7	4201	30	0.010209168413128	4014
8	4201	51	0.00724739314245478	2532
9	4201	61	0.00498451691627623	1732
10	4201	33	0.00873123979923671	2846
11	4201	32	0.00867293769197016	2530
12	4201	36	0.00712905622987367	1439
13	4201	44	0.00606360495152471	1446
4	4211	1	0.183963060983163	52272
5	4211	1	0.117010198688665	44722
6	4211	1	0.0784371268619101	35013
7	4211	1	0.0789824404338006	31054
8	4211	1	0.0518766798237956	18124
9	4211	1	0.0620273054829686	21553
10	4211	4	0.0506049896305023	16495
11	4211	4	0.0407936594997806	11900
12	4211	2	0.0644736190240277	13014
13	4211	7	0.0383441242577745	9144
5	4214	81	0.00229457413018111	877
6	4214	86	0.0026121066438462	1166
7	4214	69	0.00393462469733656	1547
9	4214	38	0.00813005790327965	2825
10	4214	60	0.00462332339334143	1507
11	4214	93	0.00141577994734533	413
4	4221	68	0.00248817500985416	707
5	4221	26	0.0129772949665887	4960
6	4221	84	0.00274428013611629	1225
7	4221	15	0.0165930779091298	6524
8	4221	26	0.0111573216703352	3898
9	4221	21	0.0117533297263696	4084
10	4221	63	0.00433187301353557	1412
11	4221	25	0.0116861836331724	3409
12	4221	53	0.00459747337131533	928
13	4221	73	0.00185346707370257	442
4	4222	59	0.00348062953995157	989
5	4222	33	0.00994228243408005	3800
6	4222	50	0.00619871276459901	2767
7	4222	72	0.00354548599100657	1394
8	4222	38	0.00867282828658688	3030
10	4222	29	0.0111518119009928	3635
11	4222	102	0.00109011627906977	318
13	4222	57	0.00366500050320373	874
6	4223	4	0.0373871764829754	16689
7	4223	29	0.0107178464606181	4214
8	4223	32	0.0104675026548014	3657
10	4223	94	0.00164439372185203	536
11	4223	60	0.00372970601140851	1088
12	4223	66	0.00300718355214268	607
13	4223	67	0.00243215136368211	580
4	4224	80	0.00154147192972577	438
6	4224	65	0.00415562420611896	1855
7	4224	38	0.00807017722343174	3173
8	4224	82	0.00327163126454416	1143
9	4224	46	0.00673715594746112	2341
10	4224	44	0.00728319159641179	2374
11	4224	42	0.00672238372093023	1961
12	4224	18	0.0155660143671043	3142
13	4224	75	0.00155154483545238	370
4	4231	70	0.00212568275240723	604
5	4231	63	0.00368126089072385	1407
7	4231	51	0.00603292164323356	2372
8	4231	91	0.00206945704660142	723
9	4231	86	0.00236850890421209	823
10	4231	109	0.00103388187362712	337
12	4231	40	0.00609858806044092	1231
13	4231	83	0.00137123016538629	327
4	5101	73	0.00190748352947801	542
5	5101	77	0.00275244240017164	1052
6	5101	105	0.0011783602870181	526
7	5101	37	0.0086322664659084	3394
9	5101	66	0.00453844294282195	1577
10	5101	79	0.00243284369669526	793
12	5101	43	0.00572702501857815	1156
4	5111	50	0.00473351540064193	1345
5	5111	55	0.00452635489762065	1730
6	5111	25	0.0128029069207385	5715
7	5111	24	0.0120582131157548	4741
8	5111	16	0.0147924675198287	5168
9	5111	32	0.00931575130368716	3237
10	5111	25	0.0122317122556419	3987
11	5111	20	0.0122860903905222	3584
12	5111	14	0.0188010899182561	3795
13	5111	52	0.00493139655808648	1176
4	5112	51	0.00470536066219945	1337
5	5112	59	0.00389318848997661	1488
6	5112	24	0.0130022872734849	5804
7	5112	110	0.000958858119518994	377
8	5112	50	0.00777119762312983	2715
9	5112	68	0.00432260069760214	1502
10	5112	22	0.0133024089140866	4336
11	5112	35	0.00824100482667837	2404
13	5112	47	0.00560652822972928	1337
4	5114	12	0.0186173207950898	5290
5	5114	13	0.0168469359455372	6439
6	5114	29	0.0105044322924484	4689
7	5114	20	0.0136045943801249	5349
8	5114	21	0.0120131552207278	4197
9	5114	17	0.013192278027835	4584
10	5114	10	0.0178551706365276	5820
11	5114	18	0.0132527972795086	3866
12	5114	9	0.0247956403269755	5005
13	5114	5	0.0388682948102922	9269
4	5115	42	0.00593009178444732	1685
5	5115	100	0.000999461023636468	382
6	5115	104	0.00146062910101863	652
7	5115	103	0.00136580055751114	537
8	5115	100	0.00129376844407171	452
9	5115	60	0.00498739481287916	1733
10	5115	57	0.00487182319086012	1588
4	5116	7	0.0263528351821612	7488
5	5116	57	0.00440338456225177	1683
6	5116	16	0.0159481879910301	7119
7	5116	26	0.0118165910431969	4646
8	5116	94	0.00167731926598677	586
9	5116	47	0.00640619783812407	2226
10	5116	67	0.00406496582360809	1325
11	5116	23	0.0118130210618692	3446
13	5116	69	0.00218054949847362	520
4	5211	19	0.0127963286221071	3636
5	5211	43	0.00689418795100025	2635
6	5211	3	0.039206242173201	17501
7	5211	9	0.0230507457220176	9063
8	5211	19	0.0129004742863522	4507
9	5211	36	0.0082653190436174	2872
10	5211	69	0.00335934911460443	1095
11	5211	103	0.00107297608600263	313
12	5211	74	0.00216001981669557	436
13	5211	63	0.00299825556040122	715
4	5212	45	0.00575412466918182	1635
5	5212	42	0.00743839709476042	2843
6	5212	22	0.0133472824905966	5958
7	5212	14	0.0167609416648015	6590
8	5212	44	0.00809177741458123	2827
10	5212	68	0.00398826835523813	1300
5	5222	67	0.00328356959336065	1255
6	5222	89	0.00230967577170278	1031
8	5222	92	0.00202652225310347	708
9	5222	90	0.00228504990272709	794
10	5222	66	0.00409564481095608	1335
11	5222	21	0.0119090061430452	3474
12	5222	86	0.00171414416646024	346
5	5241	69	0.00311088784582136	1189
6	5241	100	0.0016017635080189	715
8	5241	65	0.00521800856978478	1823
9	5241	89	0.00231958466196226	806
