"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
7	2271	45	0.00770598403566699	3125
8	2271	10	0.0179273115309773	7140
9	2271	32	0.00850613859210635	3097
10	2271	72	0.00390558807934712	1429
11	2271	94	0.00217867202097103	625
12	2271	104	0.00130598217162496	304
5	2321	108	0.0013318204109892	554
6	2321	69	0.00443583186648784	1948
7	2321	70	0.00436960118758461	1772
8	2321	39	0.00825309145690791	3287
9	2321	82	0.00327116921640254	1191
10	2321	57	0.00474464723985066	1736
11	2321	26	0.00936306087732508	2686
12	2321	71	0.00313177961550854	729
13	2321	19	0.00982332648011987	2819
5	2331	113	0.00109382362274384	455
6	2331	84	0.00346122404366607	1520
7	2331	51	0.00727691484456105	2951
8	2331	65	0.00497897181595631	1983
9	2331	33	0.00808591282375237	2944
10	2331	40	0.0077291834068535	2828
11	2331	66	0.0041203045260604	1182
12	2331	16	0.0181119106433251	4216
13	2331	28	0.00855141652437537	2454
5	2332	32	0.010214629830854	4249
6	2332	22	0.0119047890133462	5228
7	2332	8	0.0221710407886982	8991
8	2332	22	0.0116276442156801	4631
9	2332	8	0.0291658655826856	10619
10	2332	19	0.0147832931568849	5409
11	2332	32	0.00830684068155833	2383
12	2332	42	0.00544732037375148	1268
13	2332	56	0.0043001010558595	1234
5	2335	105	0.0014351927533584	597
6	2335	128	0.00089035434281147	391
7	2335	18	0.0137376118600643	5571
8	2335	51	0.00707802397840688	2819
9	2335	131	0.000966793924579088	352
10	2335	59	0.00468451922183412	1714
11	2335	71	0.00379263225410636	1088
12	2335	61	0.00388357856299001	904
5	2411	86	0.00267566086178877	1113
6	2411	70	0.00438573520269793	1926
7	2411	87	0.00285306352936535	1157
8	2411	119	0.0010520369091708	419
9	2411	61	0.00475706556071301	1732
10	2411	97	0.00190496493443313	697
11	2411	62	0.00455603893025461	1307
12	2411	23	0.00980775426914402	2283
13	2411	46	0.0052409659546294	1504
5	2412	125	0.000766878539901724	319
6	2412	53	0.00648524083971117	2848
7	2412	42	0.00803641663111639	3259
8	2412	64	0.00501161257924801	1996
10	2412	46	0.00634077280901702	2320
11	2412	59	0.00480005019660336	1377
13	2412	99	0.00114297661776492	328
5	2436	27	0.0112507572625081	4680
6	2436	24	0.0115176784295151	5058
7	2436	39	0.00831013318406328	3370
8	2436	32	0.00934027995731592	3720
9	2436	76	0.0037325935894971	1359
10	2436	65	0.00425269072880624	1556
11	2436	116	0.000857525307454196	246
12	2436	96	0.00157662979271829	367
13	2436	73	0.0024253406279402	696
4	2511	56	0.00346473668001232	1170
5	2511	70	0.00380554460396373	1583
6	2511	17	0.0145804062839433	6403
7	2511	6	0.0269869725716287	10944
8	2511	21	0.0117808047203565	4692
9	2511	38	0.00736905710126617	2683
10	2511	18	0.0148734851839097	5442
11	2511	43	0.00595387489890962	1708
12	2511	29	0.0081108366448287	1888
13	2511	87	0.00153674600132418	441
4	2512	83	0.00100684655658478	340
5	2512	17	0.014674064600502	6104
6	2512	21	0.0120641874890414	5298
7	2512	23	0.0117673458618249	4772
8	2512	44	0.0076153411587471	3033
9	2512	47	0.00616331126919168	2244
10	2512	62	0.00445493951668006	1630
11	2512	36	0.0075643492568114	2170
12	2512	70	0.00314037160347976	731
13	2512	85	0.00154720005575496	444
4	2632	60	0.00302646229655777	1022
5	2632	21	0.0139865183233487	5818
6	2632	31	0.00980300625525161	4305
7	2632	14	0.0149212510079427	6051
8	2632	26	0.0103948276944322	4140
9	2632	37	0.00751737207833228	2737
10	2632	30	0.0108421748850735	3967
11	2632	14	0.0182346133467191	5231
12	2632	10	0.0231081516485877	5379
13	2632	25	0.00863853364463184	2479
5	2633	74	0.00353148769628725	1469
6	2633	78	0.00388932280696161	1708
7	2633	86	0.0029911547632845	1213
8	2633	99	0.00224970183918147	896
9	2633	83	0.00308440220824521	1123
10	2633	90	0.00259370404989532	949
4	2634	87	0.000920968467934898	311
5	2634	99	0.00187031819449386	778
6	2634	66	0.00465898973246104	2046
7	2634	114	0.00116637774363856	473
8	2634	117	0.0011022534680811	439
9	2634	25	0.0107418495426955	3911
10	2634	60	0.00462439120381758	1692
11	2634	90	0.00258303354806325	741
4	2638	85	0.000997962616379617	337
8	2638	111	0.00134078212290503	534
9	2638	73	0.00395231948144689	1439
10	2638	120	0.000964781379992675	353
11	2638	69	0.00382400513120834	1097
12	2638	85	0.00212651702287617	495
13	2638	54	0.00468341638498798	1344
4	2642	70	0.001501385894672	507
5	2642	126	0.000625042070139336	260
6	2642	52	0.00651484341376884	2861
7	2642	59	0.00554830850568023	2250
8	2642	36	0.0086673780679179	3452
9	2642	15	0.0131725672223901	4796
10	2642	86	0.00267569680173606	979
11	2642	49	0.00550071111854764	1578
12	2642	25	0.00914617119536033	2129
13	2642	84	0.00156810816461651	450
4	2643	59	0.00318637322025065	1076
5	2643	115	0.00105535949535065	439
6	2643	71	0.00422861384808414	1857
7	2643	115	0.00115404816918149	468
8	2643	68	0.00492373360115498	1961
9	2643	107	0.00193633442280755	705
10	2643	106	0.00143214006548488	524
12	2643	101	0.00136612608742348	318
4	2644	44	0.00464926204070029	1570
5	2644	69	0.00396180512149856	1648
6	2644	57	0.0058909122374764	2587
7	2644	121	0.000998695531022442	405
8	2644	69	0.00480070303182474	1912
9	2644	120	0.00133208821994562	485
10	2644	58	0.00473371487293857	1732
11	2644	42	0.00612468278535375	1757
13	2644	61	0.00346726138620762	995
5	2651	57	0.00552200628888483	2297
6	2651	34	0.00934985916006112	4106
7	2651	78	0.00372353148603429	1510
8	2651	102	0.00209905216245057	836
9	2651	70	0.00402922354362932	1467
10	2651	68	0.00401764484019613	1470
12	2651	92	0.00170550961228654	397
4	2711	77	0.00109864727203809	371
5	2711	78	0.00323098670102795	1344
6	2711	114	0.00212683108998955	934
9	2711	89	0.00272460106017743	992
10	2711	70	0.00396571609736366	1451
13	2711	96	0.00131721085827787	378
6	2812	132	0.000726401624953604	319
7	2812	124	0.00094691131830276	384
9	2812	115	0.0014337114449724	522
10	2812	117	0.00101124393936909	370
11	2812	117	0.000787807802783123	226
13	2812	80	0.00163431717601143	469
5	2821	75	0.00343051936188013	1427
6	2821	97	0.00296481164792976	1302
7	2821	44	0.00778982514197505	3159
8	2821	31	0.00941560479568138	3750
9	2821	57	0.00508390782498833	1851
12	2821	88	0.00178283750402749	415
13	2821	62	0.00339408300519218	974
5	2823	98	0.00202177069610455	841
6	2823	110	0.00221108456999984	971
7	2823	93	0.00249797178500181	1013
8	2823	123	0.000934027995731592	372
9	2823	112	0.00178527287209207	650
10	2823	112	0.00120802654378686	442
13	2823	47	0.00508763982297801	1460
5	3101	83	0.00287278951467887	1195
6	3101	55	0.0062598058526566	2749
7	3101	30	0.00951349965107304	3858
8	3101	61	0.00559412466260749	2228
9	3101	77	0.00365568952731468	1331
10	3101	85	0.00267569680173606	979
11	3101	97	0.00216472852003681	621
4	3111	34	0.00721079813318803	2435
5	3111	26	0.011637802544402	4841
6	3111	8	0.0178230267037989	7827
7	3111	29	0.0102014899057774	4137
8	3111	9	0.0202598706923608	8069
9	3111	40	0.00703672168969211	2562
10	3111	26	0.0122579164001902	4485
11	3111	45	0.00562620262695558	1614
12	3111	74	0.00303297175383954	706
13	3111	34	0.007039063316723	2020
